date,poi_id,poi_name,district,lon,lat,poi_type,dist_to_center_km,crowd_flow,weather,weather_code,high_temp,low_temp,precipitation_mm,max_wind_speed_kmh,is_weekend,is_holiday
2024-01-01,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4924,小毛毛雨,51,10.7,7.5,0.4,7.2,0,1
2024-01-02,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2581,阴,3,13.6,4.1,0.0,10.8,0,0
2024-01-03,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2455,阴,3,14.9,4.8,0.0,7.7,0,0
2024-01-04,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,1810,小毛毛雨,51,10.2,4.2,0.7,9.7,0,0
2024-01-05,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2037,阴,3,12.7,7.1,0.0,8.2,0,0
2024-01-06,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4178,阴,3,15.6,5.1,0.0,10.7,1,0
2024-01-07,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,4274,阴,3,14.4,7.3,0.0,8.7,1,0
2024-01-08,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,1697,小毛毛雨,51,14.2,5.1,0.1,9.7,0,0
2024-01-09,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2934,小毛毛雨,51,15.6,6.2,1.2,11.8,0,0
2024-01-10,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2676,阴,3,15.3,3.3,0.0,10.1,0,0
2024-01-11,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2090,阴,3,14.8,2.2,0.0,8.9,0,0
2024-01-12,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2061,阴,3,15.4,4.1,0.0,8.2,0,0
2024-01-13,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2586,小毛毛雨,51,14.7,5.1,0.2,9.5,1,0
2024-01-14,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3375,小毛毛雨,51,15.9,9.8,0.2,9.9,1,0
2024-01-15,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2546,阴,3,16.1,10.1,0.0,14.2,0,0
2024-01-16,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2903,阴,3,13.8,7.8,0.0,13.4,0,0
2024-01-17,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2021,阴,3,13.1,4.9,0.0,9.7,0,0
2024-01-18,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2264,小毛毛雨,51,14.9,7.9,0.1,11.3,0,0
2024-01-19,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2338,小毛毛雨,51,13.2,7.3,0.2,12.7,0,0
2024-01-20,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3254,小毛毛雨,51,11.8,7.4,1.3,12.2,1,0
2024-01-21,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,1326,小雪,71,8.1,2.4,10.9,26.7,1,0
2024-01-22,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,728,中雪,73,6.9,0.9,2.2,20.5,0,0
2024-01-23,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,821,小雪,71,3.3,1.0,1.2,15.6,0,0
2024-01-24,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,733,中雪,73,3.9,0.6,2.9,14.0,0,0
2024-01-25,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,1568,阴,3,6.2,-3.2,0.0,9.8,0,0
2024-01-26,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,1492,阴,3,8.3,-1.8,0.0,11.9,0,0
2024-01-27,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2837,小毛毛雨,51,8.7,-1.1,0.6,8.4,1,0
2024-01-28,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2828,小毛毛雨,51,9.4,1.2,0.6,7.7,1,0
2024-01-29,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,1761,小毛毛雨,51,10.4,1.5,0.5,8.9,0,0
2024-01-30,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2536,阴,3,9.1,4.8,0.0,10.3,0,0
2024-01-31,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2305,阴,3,10.4,5.3,0.0,9.0,0,0
2024-02-01,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2148,阴,3,12.6,3.7,0.0,8.9,0,0
2024-02-02,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2245,小毛毛雨,51,9.8,6.2,1.0,15.1,0,0
2024-02-03,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3421,小毛毛雨,51,7.1,4.8,2.3,12.4,1,0
2024-02-04,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,3238,小毛毛雨,51,9.6,0.6,1.2,13.0,1,0
2024-02-05,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2340,阴,3,8.4,4.8,0.0,12.6,0,0
2024-02-06,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2551,阴,3,10.4,4.3,0.0,16.9,0,0
2024-02-07,B001C8MSP5,黄龙溪古镇,双流区,103.970525,30.317805,景区,38.85,2578,阴,3,9.1,3.4,0.0,9.9,0,0
