POI,Model,RMSE,MAE,R²,MAPE(%)
人民公园,"ARIMA(5,1,2)",4153.65,2951.05,0.3236,27.94
大慈寺,"ARIMA(5,1,2)",3501.15,2472.88,0.2214,28.42
青羊宫,"ARIMA(5,1,2)",3185.17,2046.19,0.1311,27.29
天府芙蓉园,"ARIMA(5,1,2)",1427.26,981.9,0.351,23.67
浣花溪公园,"ARIMA(5,1,2)",1460.95,937.9,0.4569,22.76
文化公园,"ARIMA(5,1,2)",1166.2,865.19,0.2696,23.15
百花潭公园,"ARIMA(5,1,2)",1384.34,1007.53,0.2621,27.57
望江楼公园,"ARIMA(5,1,2)",1100.87,826.22,0.3084,24.33
活水公园,"ARIMA(5,1,2)",1266.98,814.58,0.3695,24.21
黄龙溪古镇,"ARIMA(5,1,2)",1237.02,847.83,0.2788,25.36
