POI,ARIMA_RMSE,ARIMA_MAE,ARIMA_R²,LSTM_RMSE,LSTM_MAE,LSTM_R²
人民公园,4153.65,2951.05,0.3236,3815.28,2571.73,0.4293
大慈寺,3501.15,2472.88,0.2214,3193.48,2104.65,0.3522
青羊宫,3185.17,2046.19,0.1311,3054.43,2034.05,0.2009
天府芙蓉园,1427.26,981.9,0.351,1414.94,957.32,0.3622
浣花溪公园,1460.95,937.9,0.4569,1384.9,910.46,0.5119
文化公园,1166.2,865.19,0.2696,1254.89,895.74,0.1543
百花潭公园,1384.34,1007.53,0.2621,1356.17,902.72,0.2918
望江楼公园,1100.87,826.22,0.3084,1093.02,772.19,0.3182
活水公园,1266.98,814.58,0.3695,1221.97,804.83,0.4135
黄龙溪古镇,1237.02,847.83,0.2788,1147.24,768.35,0.3797
