date,poi_id,poi_name,district,poi_type,crowd_flow,flow_density_score,weather,weather_code,high_temp,low_temp,precipitation_mm,max_wind_speed_kmh,is_weekend,is_holiday,dist_to_center_km,time_score,weather_score,daily_vitality
2024-01-01,B001C8MSP5,黄龙溪古镇,双流区,景区,4924,10.7,小毛毛雨,51,10.7,7.5,0.4,7.2,0,1,38.85,90.0,55.0,35.42
2024-01-02,B001C8MSP5,黄龙溪古镇,双流区,景区,2581,5.52,阴,3,13.6,4.1,0.0,10.8,0,0,38.85,50.0,60.0,25.31
2024-01-03,B001C8MSP5,黄龙溪古镇,双流区,景区,2455,5.24,阴,3,14.9,4.8,0.0,7.7,0,0,38.85,50.0,60.0,25.14
2024-01-04,B001C8MSP5,黄龙溪古镇,双流区,景区,1810,3.82,小毛毛雨,51,10.2,4.2,0.7,9.7,0,0,38.85,50.0,55.0,23.29
2024-01-05,B001C8MSP5,黄龙溪古镇,双流区,景区,2037,4.32,阴,3,12.7,7.1,0.0,8.2,0,0,38.85,50.0,60.0,24.59
2024-01-06,B001C8MSP5,黄龙溪古镇,双流区,景区,4178,9.05,阴,3,15.6,5.1,0.0,10.7,1,0,38.85,70.0,60.0,31.43
2024-01-07,B001C8MSP5,黄龙溪古镇,双流区,景区,4274,9.27,阴,3,14.4,7.3,0.0,8.7,1,0,38.85,70.0,60.0,31.56
2024-01-08,B001C8MSP5,黄龙溪古镇,双流区,景区,1697,3.57,小毛毛雨,51,14.2,5.1,0.1,9.7,0,0,38.85,50.0,55.0,23.14
2024-01-09,B001C8MSP5,黄龙溪古镇,双流区,景区,2934,6.3,小毛毛雨,51,15.6,6.2,1.2,11.8,0,0,38.85,50.0,55.0,24.78
2024-01-10,B001C8MSP5,黄龙溪古镇,双流区,景区,2676,5.73,阴,3,15.3,3.3,0.0,10.1,0,0,38.85,50.0,60.0,25.44
2024-01-11,B001C8MSP5,黄龙溪古镇,双流区,景区,2090,4.44,阴,3,14.8,2.2,0.0,8.9,0,0,38.85,50.0,60.0,24.66
2024-01-12,B001C8MSP5,黄龙溪古镇,双流区,景区,2061,4.37,阴,3,15.4,4.1,0.0,8.2,0,0,38.85,50.0,60.0,24.62
2024-01-13,B001C8MSP5,黄龙溪古镇,双流区,景区,2586,5.53,小毛毛雨,51,14.7,5.1,0.2,9.5,1,0,38.85,70.0,55.0,28.32
2024-01-14,B001C8MSP5,黄龙溪古镇,双流区,景区,3375,7.28,小毛毛雨,51,15.9,9.8,0.2,9.9,1,0,38.85,70.0,55.0,29.37
2024-01-15,B001C8MSP5,黄龙溪古镇,双流区,景区,2546,5.44,阴,3,16.1,10.1,0.0,14.2,0,0,38.85,50.0,60.0,25.26
2024-01-16,B001C8MSP5,黄龙溪古镇,双流区,景区,2903,6.23,阴,3,13.8,7.8,0.0,13.4,0,0,38.85,50.0,60.0,25.74
2024-01-17,B001C8MSP5,黄龙溪古镇,双流区,景区,2021,4.28,阴,3,13.1,4.9,0.0,9.7,0,0,38.85,50.0,60.0,24.57
2024-01-18,B001C8MSP5,黄龙溪古镇,双流区,景区,2264,4.82,小毛毛雨,51,14.9,7.9,0.1,11.3,0,0,38.85,50.0,55.0,23.89
2024-01-19,B001C8MSP5,黄龙溪古镇,双流区,景区,2338,4.98,小毛毛雨,51,13.2,7.3,0.2,12.7,0,0,38.85,50.0,55.0,23.99
2024-01-20,B001C8MSP5,黄龙溪古镇,双流区,景区,3254,7.01,小毛毛雨,51,11.8,7.4,1.3,12.2,1,0,38.85,70.0,55.0,29.21
2024-01-21,B001C8MSP5,黄龙溪古镇,双流区,景区,1326,2.75,小雪,71,8.1,2.4,10.9,26.7,1,0,38.85,70.0,50.0,25.65
2024-01-22,B001C8MSP5,黄龙溪古镇,双流区,景区,728,1.42,中雪,73,6.9,0.9,2.2,20.5,0,0,38.85,50.0,50.0,20.85
2024-01-23,B001C8MSP5,黄龙溪古镇,双流区,景区,821,1.63,小雪,71,3.3,1.0,1.2,15.6,0,0,38.85,50.0,50.0,20.98
2024-01-24,B001C8MSP5,黄龙溪古镇,双流区,景区,733,1.44,中雪,73,3.9,0.6,2.9,14.0,0,0,38.85,50.0,50.0,20.86
2024-01-25,B001C8MSP5,黄龙溪古镇,双流区,景区,1568,3.28,阴,3,6.2,-3.2,0.0,9.8,0,0,38.85,50.0,60.0,23.97
2024-01-26,B001C8MSP5,黄龙溪古镇,双流区,景区,1492,3.11,阴,3,8.3,-1.8,0.0,11.9,0,0,38.85,50.0,60.0,23.87
2024-01-27,B001C8MSP5,黄龙溪古镇,双流区,景区,2837,6.09,小毛毛雨,51,8.7,-1.1,0.6,8.4,1,0,38.85,70.0,55.0,28.65
2024-01-28,B001C8MSP5,黄龙溪古镇,双流区,景区,2828,6.07,小毛毛雨,51,9.4,1.2,0.6,7.7,1,0,38.85,70.0,55.0,28.64
2024-01-29,B001C8MSP5,黄龙溪古镇,双流区,景区,1761,3.71,小毛毛雨,51,10.4,1.5,0.5,8.9,0,0,38.85,50.0,55.0,23.23
2024-01-30,B001C8MSP5,黄龙溪古镇,双流区,景区,2536,5.42,阴,3,9.1,4.8,0.0,10.3,0,0,38.85,50.0,60.0,25.25
2024-01-31,B001C8MSP5,黄龙溪古镇,双流区,景区,2305,4.91,阴,3,10.4,5.3,0.0,9.0,0,0,38.85,50.0,60.0,24.95
2024-02-01,B001C8MSP5,黄龙溪古镇,双流区,景区,2148,4.56,阴,3,12.6,3.7,0.0,8.9,0,0,38.85,50.0,60.0,24.74
2024-02-02,B001C8MSP5,黄龙溪古镇,双流区,景区,2245,4.78,小毛毛雨,51,9.8,6.2,1.0,15.1,0,0,38.85,50.0,55.0,23.87
2024-02-03,B001C8MSP5,黄龙溪古镇,双流区,景区,3421,7.38,小毛毛雨,51,7.1,4.8,2.3,12.4,1,0,38.85,70.0,55.0,29.43
2024-02-04,B001C8MSP5,黄龙溪古镇,双流区,景区,3238,6.98,小毛毛雨,51,9.6,0.6,1.2,13.0,1,0,38.85,70.0,55.0,29.19
2024-02-05,B001C8MSP5,黄龙溪古镇,双流区,景区,2340,4.99,阴,3,8.4,4.8,0.0,12.6,0,0,38.85,50.0,60.0,24.99
2024-02-06,B001C8MSP5,黄龙溪古镇,双流区,景区,2551,5.46,阴,3,10.4,4.3,0.0,16.9,0,0,38.85,50.0,60.0,25.28
2024-02-07,B001C8MSP5,黄龙溪古镇,双流区,景区,2578,5.52,阴,3,9.1,3.4,0.0,9.9,0,0,38.85,50.0,60.0,25.31
2024-02-08,B001C8MSP5,黄龙溪古镇,双流区,景区,1966,4.16,小毛毛雨,51,10.0,0.8,0.2,7.3,0,0,38.85,50.0,55.0,23.5
2024-02-09,B001C8MSP5,黄龙溪古镇,双流区,景区,3006,6.46,阴,3,14.4,3.2,0.0,9.8,0,0,38.85,50.0,60.0,25.88
2024-02-10,B001C8MSP5,黄龙溪古镇,双流区,景区,8677,19.0,晴间多云,1,15.0,1.3,0.0,10.0,1,1,38.85,90.0,90.0,47.4
2024-02-11,B001C8MSP5,黄龙溪古镇,双流区,景区,5909,12.88,阴,3,16.5,1.7,0.0,10.1,1,1,38.85,90.0,60.0,37.73
2024-02-12,B001C8MSP5,黄龙溪古镇,双流区,景区,6872,15.01,多云,2,17.9,4.1,0.0,11.2,0,1,38.85,90.0,80.0,43.01
2024-02-13,B001C8MSP5,黄龙溪古镇,双流区,景区,4622,10.04,阴,3,18.8,3.8,0.0,9.4,0,1,38.85,90.0,60.0,36.02
2024-02-14,B001C8MSP5,黄龙溪古镇,双流区,景区,4962,10.79,小毛毛雨,51,16.5,6.8,0.2,20.0,0,1,38.85,90.0,55.0,35.47
2024-02-15,B001C8MSP5,黄龙溪古镇,双流区,景区,5795,12.63,小毛毛雨,51,16.9,8.4,0.1,16.6,0,1,38.85,90.0,55.0,36.58
2024-02-16,B001C8MSP5,黄龙溪古镇,双流区,景区,4567,9.91,阴,3,16.5,2.7,0.0,9.9,0,1,38.85,90.0,60.0,35.95
2024-02-17,B001C8MSP5,黄龙溪古镇,双流区,景区,5280,11.49,阴,3,19.8,3.9,0.0,9.6,1,1,38.85,90.0,60.0,36.89
2024-02-18,B001C8MSP5,黄龙溪古镇,双流区,景区,3608,7.79,阴,3,21.0,5.0,0.0,11.5,1,0,38.85,70.0,60.0,30.67
2024-02-19,B001C8MSP5,黄龙溪古镇,双流区,景区,3556,7.68,阴,3,19.1,10.5,0.0,17.1,0,0,38.85,50.0,60.0,26.61
2024-02-20,B001C8MSP5,黄龙溪古镇,双流区,景区,3301,7.11,阴,3,19.5,7.8,0.0,21.7,0,0,38.85,50.0,60.0,26.27
2024-02-21,B001C8MSP5,黄龙溪古镇,双流区,景区,1978,4.19,小毛毛雨,51,10.7,6.1,0.4,22.5,0,0,38.85,50.0,55.0,23.51
2024-02-22,B001C8MSP5,黄龙溪古镇,双流区,景区,2030,4.3,阴,3,8.0,3.7,0.0,17.7,0,0,38.85,50.0,60.0,24.58
2024-02-23,B001C8MSP5,黄龙溪古镇,双流区,景区,1211,2.49,小雪,71,5.1,2.1,0.7,14.8,0,0,38.85,50.0,50.0,21.49
2024-02-24,B001C8MSP5,黄龙溪古镇,双流区,景区,3981,8.62,阴,3,10.2,1.6,0.0,9.0,1,0,38.85,70.0,60.0,31.17
2024-02-25,B001C8MSP5,黄龙溪古镇,双流区,景区,2075,4.4,小毛毛雨,51,9.7,-0.3,0.5,10.5,1,0,38.85,70.0,55.0,27.64
2024-02-26,B001C8MSP5,黄龙溪古镇,双流区,景区,1724,3.63,中毛毛雨,53,9.9,4.2,0.7,7.3,0,0,38.85,50.0,45.0,21.18
2024-02-27,B001C8MSP5,黄龙溪古镇,双流区,景区,1904,4.03,小毛毛雨,51,10.9,3.5,0.7,11.9,0,0,38.85,50.0,55.0,23.42
2024-02-28,B001C8MSP5,黄龙溪古镇,双流区,景区,2576,5.51,小毛毛雨,51,7.8,5.2,0.8,12.3,0,0,38.85,50.0,55.0,24.31
2024-02-29,B001C8MSP5,黄龙溪古镇,双流区,景区,1475,3.08,大毛毛雨,55,12.8,2.2,1.8,13.1,0,0,38.85,50.0,35.0,18.85
2024-03-01,B001C8MSP5,黄龙溪古镇,双流区,景区,2499,5.34,中毛毛雨,53,10.3,3.7,1.8,18.3,0,0,38.85,50.0,45.0,22.2
2024-03-02,B001C8MSP5,黄龙溪古镇,双流区,景区,3252,7.01,中毛毛雨,53,11.6,3.2,2.3,11.4,1,0,38.85,70.0,45.0,27.21
2024-03-03,B001C8MSP5,黄龙溪古镇,双流区,景区,5784,12.61,小毛毛雨,51,13.7,6.5,0.2,10.3,1,0,38.85,70.0,55.0,32.57
2024-03-04,B001C8MSP5,黄龙溪古镇,双流区,景区,3480,7.51,小毛毛雨,51,14.4,3.8,0.1,10.9,0,0,38.85,50.0,55.0,25.51
2024-03-05,B001C8MSP5,黄龙溪古镇,双流区,景区,4482,9.73,小毛毛雨,51,17.6,5.6,0.5,15.3,0,0,38.85,50.0,55.0,26.84
2024-03-06,B001C8MSP5,黄龙溪古镇,双流区,景区,3838,8.3,小毛毛雨,51,16.5,7.5,0.4,19.3,0,0,38.85,50.0,55.0,25.98
2024-03-07,B001C8MSP5,黄龙溪古镇,双流区,景区,3702,8.0,阴,3,17.0,7.8,0.0,12.0,0,0,38.85,50.0,60.0,26.8
2024-03-08,B001C8MSP5,黄龙溪古镇,双流区,景区,4212,9.13,小毛毛雨,51,16.2,7.9,0.1,10.7,0,0,38.85,50.0,55.0,26.48
2024-03-09,B001C8MSP5,黄龙溪古镇,双流区,景区,5774,12.58,小毛毛雨,51,16.2,5.4,0.1,7.6,1,0,38.85,70.0,55.0,32.55
2024-03-10,B001C8MSP5,黄龙溪古镇,双流区,景区,4574,9.93,中毛毛雨,53,16.6,7.6,1.8,11.3,1,0,38.85,70.0,45.0,28.96
2024-03-11,B001C8MSP5,黄龙溪古镇,双流区,景区,4406,9.56,阴,3,20.9,6.4,0.0,10.4,0,0,38.85,50.0,60.0,27.74
2024-03-12,B001C8MSP5,黄龙溪古镇,双流区,景区,3768,8.15,小毛毛雨,51,17.0,11.8,0.1,16.1,0,0,38.85,50.0,55.0,25.89
2024-03-13,B001C8MSP5,黄龙溪古镇,双流区,景区,3459,7.46,小毛毛雨,51,22.0,8.8,0.6,16.0,0,0,38.85,50.0,55.0,25.48
2024-03-14,B001C8MSP5,黄龙溪古镇,双流区,景区,2924,6.28,中毛毛雨,53,20.5,11.6,1.7,12.6,0,0,38.85,50.0,45.0,22.77
2024-03-15,B001C8MSP5,黄龙溪古镇,双流区,景区,3469,7.49,小毛毛雨,51,21.5,10.8,0.3,12.4,0,0,38.85,50.0,55.0,25.49
2024-03-16,B001C8MSP5,黄龙溪古镇,双流区,景区,5640,12.29,小毛毛雨,51,20.5,14.1,0.7,16.9,1,0,38.85,70.0,55.0,32.37
2024-03-17,B001C8MSP5,黄龙溪古镇,双流区,景区,5654,12.32,中毛毛雨,53,20.2,12.6,1.4,17.4,1,0,38.85,70.0,45.0,30.39
2024-03-18,B001C8MSP5,黄龙溪古镇,双流区,景区,3492,7.54,小毛毛雨,51,17.9,11.1,0.6,14.2,0,0,38.85,50.0,55.0,25.52
2024-03-19,B001C8MSP5,黄龙溪古镇,双流区,景区,2572,5.5,大毛毛雨,55,20.1,11.4,3.8,12.1,0,0,38.85,50.0,35.0,20.3
2024-03-20,B001C8MSP5,黄龙溪古镇,双流区,景区,5293,11.52,阴,3,21.4,10.6,0.0,8.0,0,0,38.85,50.0,60.0,28.91
2024-03-21,B001C8MSP5,黄龙溪古镇,双流区,景区,4282,9.28,阴,3,22.9,9.0,0.0,11.4,0,0,38.85,50.0,60.0,27.57
2024-03-22,B001C8MSP5,黄龙溪古镇,双流区,景区,3990,8.64,阴,3,25.8,11.5,0.0,17.4,0,0,38.85,50.0,60.0,27.18
2024-03-23,B001C8MSP5,黄龙溪古镇,双流区,景区,5638,12.28,阴,3,27.5,13.9,0.0,18.8,1,0,38.85,70.0,60.0,33.37
2024-03-24,B001C8MSP5,黄龙溪古镇,双流区,景区,2672,5.72,中雨,63,20.5,13.4,14.1,28.4,1,0,38.85,70.0,30.0,23.43
2024-03-25,B001C8MSP5,黄龙溪古镇,双流区,景区,2248,4.79,中雨,63,23.6,9.6,3.4,16.0,0,0,38.85,50.0,30.0,18.87
2024-03-26,B001C8MSP5,黄龙溪古镇,双流区,景区,4903,10.66,小毛毛雨,51,22.5,14.3,0.1,18.8,0,0,38.85,50.0,55.0,27.4
2024-03-27,B001C8MSP5,黄龙溪古镇,双流区,景区,2693,5.77,小雨,61,18.2,13.9,11.3,13.0,0,0,38.85,50.0,40.0,21.46
2024-03-28,B001C8MSP5,黄龙溪古镇,双流区,景区,6067,13.23,晴,0,25.4,10.2,0.0,13.3,0,0,38.85,50.0,95.0,36.94
2024-03-29,B001C8MSP5,黄龙溪古镇,双流区,景区,5557,12.1,阴,3,27.5,11.8,0.0,11.0,0,0,38.85,50.0,60.0,29.26
