feature,feature_cn,importance
is_holiday,是否节假日,0.20127654
comfort,舒适度,0.1662279
poi_type_enc,POI类型,0.14698109
dist_to_center_km,距市中心距离,0.11784977
weather_code,天气代码,0.08201406
is_weekend,是否周末,0.06337877
district_enc,所在区域,0.062239338
social_activity_index,社交活跃度,0.04627779
precipitation_mm,降水量,0.034673925
day_of_week,星期,0.022675369
month,月份,0.018027727
high_temp,最高温度,0.012371239
day_of_year,年内天数,0.007114264
low_temp,最低温度,0.006508198
avg_temp,平均温度,0.006242197
max_wind_speed_kmh,最大风速,0.0028100456
temp_range,温差,0.002351761
quarter,季度,0.0009800867
