poi_name,flow_density_index,social_activity_index,time_activity_index,weather_resilience_index,space_vitality_index,vitality_level,district,type,dist_to_center_km
wood park滑板运动公园(交子店),2.8267341772151897,10.0,59.49,70.69,26.13,较低,武侯区,公园,8.48
万花公园,3.974898734177215,10.0,58.23,50.0,23.24,较低,青羊区,广场,9.34
东安湖公园,3.5848101265822785,87.5,48.1,55.17,41.2,中等,龙泉驿区,广场,18.73
中和湿地公园,2.825177215189873,10.0,56.96,46.55,22.0,较低,双流区,广场,10.57
中环晓院,3.4785443037974684,10.0,53.16,96.55,29.01,较低,武侯区,公园,5.47
二仙桥公园,4.315088607594936,10.0,56.96,55.17,23.89,较低,成华区,广场,6.35
人民公园,26.14039240506329,93.75,50.63,58.62,52.81,中等,青羊区,景区,0.78
兴隆湖湿地公园,4.475189873417722,34.38,34.18,27.59,21.36,较低,双流区,景区,29.38
凤凰山公园,5.0719493670886076,0.0,6.33,25.86,7.17,低,金牛区,广场,9.06
北湖凝萃公园,4.10793670886076,10.0,39.24,77.59,23.63,较低,金牛区,广场,6.96
北湖生态公园,6.436962025316456,100.0,63.29,67.24,50.32,中等,成华区,广场,10.89
南岸公园,2.146240506329114,10.0,60.76,34.48,20.68,较低,双流区,广场,23.79
南湖公园,2.138405063291139,10.0,46.84,56.9,21.26,较低,双流区,广场,17.65
双桂公园,4.326911392405064,10.0,64.56,91.38,30.85,较低,成华区,广场,4.94
国宾蜀园,2.4404177215189873,10.0,45.57,27.59,16.73,低,金牛区,公园,9.56
圣灯公园,6.2115063291139245,10.0,78.48,60.34,29.73,较低,成华区,景区,8.39
塔子山公园,7.174924050632911,100.0,36.71,27.59,39.35,较低,锦江区,广场,6.14
大慈寺,21.76439240506329,100.0,68.35,67.24,57.46,中等,锦江区,景区,1.76
天府公园,2.6599113924050632,100.0,22.78,0.0,30.62,较低,双流区,广场,25.04
天府艺术公园,7.5597088607594936,100.0,72.15,53.45,50.47,中等,金牛区,广场,7.28
天府芙蓉园,10.413582278481012,6.25,45.57,96.55,29.32,较低,武侯区,景区,10.59
彭镇古镇,3.8765569620253166,10.0,0.0,41.38,10.26,低,双流区,景区,20.4
成华公园,4.3367848101265825,10.0,67.09,62.07,26.96,较低,成华区,广场,3.03
成都青羊绿舟文化产业园区,2.942506329113924,10.0,64.56,34.48,21.76,较低,青羊区,公园,13.37
文化公园,9.50120253164557,43.75,97.47,79.31,46.13,中等,青羊区,广场,2.19
